timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673431529915,5140,HTTP Request,200,OK,AchomkaOffer 1-209,text,true,,2784,114,1000,1000,https://carnesia.com/,5140,0,4890
1673431529949,5107,HTTP Request,200,OK,AchomkaOffer 1-204,text,true,,2776,114,1000,1000,https://carnesia.com/,5092,0,4307
1673431530099,4957,HTTP Request,200,OK,AchomkaOffer 1-229,text,true,,2784,114,1000,1000,https://carnesia.com/,4956,0,4158
1673431529975,5081,HTTP Request,200,OK,AchomkaOffer 1-168,text,true,,2782,114,1000,1000,https://carnesia.com/,5065,0,4447
1673431529974,5083,HTTP Request,200,OK,AchomkaOffer 1-37,text,true,,2784,114,1000,1000,https://carnesia.com/,5082,0,4276
1673431530761,4296,HTTP Request,200,OK,AchomkaOffer 1-965,text,true,,2784,114,1000,1000,https://carnesia.com/,4279,0,3667
1673431529971,5079,HTTP Request,200,OK,AchomkaOffer 1-26,text,true,,2778,114,1000,1000,https://carnesia.com/,5072,0,4477
1673431530455,4600,HTTP Request,200,OK,AchomkaOffer 1-605,text,true,,2780,114,1000,1000,https://carnesia.com/,4586,0,3782
1673431529930,5125,HTTP Request,200,OK,AchomkaOffer 1-237,text,true,,2784,114,1000,1000,https://carnesia.com/,5112,0,4507
1673431530080,4978,HTTP Request,200,OK,AchomkaOffer 1-102,text,true,,2787,114,1000,1000,https://carnesia.com/,4960,0,4142
1673431530636,4422,HTTP Request,200,OK,AchomkaOffer 1-817,text,true,,2777,114,1000,1000,https://carnesia.com/,4422,0,3646
1673431530207,4848,HTTP Request,200,OK,AchomkaOffer 1-613,text,true,,2784,114,1000,1000,https://carnesia.com/,4848,0,4026
1673431529955,5102,HTTP Request,200,OK,AchomkaOffer 1-332,text,true,,2786,114,1000,1000,https://carnesia.com/,5092,0,4310
1673431530497,4562,HTTP Request,200,OK,AchomkaOffer 1-697,text,true,,2782,114,1000,1000,https://carnesia.com/,4550,0,3781
1673431530752,4307,HTTP Request,200,OK,AchomkaOffer 1-952,text,true,,2781,114,1000,1000,https://carnesia.com/,4307,0,3721
1673431530755,4300,HTTP Request,200,OK,AchomkaOffer 1-964,text,true,,2777,114,1000,1000,https://carnesia.com/,4291,0,3512
1673431530194,4861,HTTP Request,200,OK,AchomkaOffer 1-419,text,true,,2776,114,1000,1000,https://carnesia.com/,4858,0,4600
1673431530389,4670,HTTP Request,200,OK,AchomkaOffer 1-540,text,true,,2794,114,1000,1000,https://carnesia.com/,4658,0,3846
1673431530390,4669,HTTP Request,200,OK,AchomkaOffer 1-798,text,true,,2780,114,1000,1000,https://carnesia.com/,4652,0,3863
1673431530533,4527,HTTP Request,200,OK,AchomkaOffer 1-652,text,true,,2782,114,1000,1000,https://carnesia.com/,4507,0,3890
1673431529904,5156,HTTP Request,200,OK,AchomkaOffer 1-137,text,true,,2784,114,1000,1000,https://carnesia.com/,5136,0,4484
1673431530414,4640,HTTP Request,200,OK,AchomkaOffer 1-569,text,true,,2781,114,1000,1000,https://carnesia.com/,4640,0,4040
1673431529974,5080,HTTP Request,200,OK,AchomkaOffer 1-177,text,true,,2784,114,1000,1000,https://carnesia.com/,5069,0,4265
1673431529971,5083,HTTP Request,200,OK,AchomkaOffer 1-69,text,true,,2782,114,1000,1000,https://carnesia.com/,5082,0,4283
1673431530485,4568,HTTP Request,200,OK,AchomkaOffer 1-725,text,true,,2784,114,1000,1000,https://carnesia.com/,4559,0,3778
